S28000345,F,16,24,0,47,0,8,111,62,0,43,17,3,52,27,19,103,0,59
S28000345,F,25,49,0,394,0,162,556,64,6,186,68,9,137,40,48,35,0,104
S28000345,F,50,64,0,225,0,175,91,121,0,34,5,11,21,68,21,0,0,25
S28000345,F,65,90,385,0,172,9,0,39,0,2,0,0,3,37,19,0,12,14
S28000346,M,0,15,0,0,0,0,267,0,0,0,93,0,236,0,62,0,0,0
S28000346,M,16,24,0,22,0,6,79,54,0,26,29,8,64,59,22,12,0,30
S28000346,M,25,49,0,329,0,106,294,86,0,120,108,15,21,104,45,2,0,105
S28000346,M,50,64,0,187,0,155,47,82,0,29,10,8,4,33,26,0,0,35
S28000346,M,65,90,198,0,211,40,3,46,0,7,0,1,0,24,6,0,14,15
S28000346,F,0,15,0,0,0,0,236,0,0,0,90,0,278,0,51,0,0,0
S28000346,F,16,24,0,14,0,9,61,38,0,24,25,6,90,37,25,25,0,26
S28000346,F,25,49,0,181,0,113,311,71,3,126,106,11,286,89,72,4,0,86
S28000346,F,50,64,0,188,0,179,30,80,1,29,7,7,31,97,28,0,0,41
S28000346,F,65,90,540,0,213,6,0,37,0,3,0,1,5,108,12,0,13,19
S28000347,M,0,15,0,0,0,0,373,0,1,0,108,0,322,0,61,0,0,0
S28000347,M,16,24,0,63,0,1,80,89,1,7,25,14,81,89,17,3,0,33
S28000347,M,25,49,0,524,0,121,365,126,4,127,128,20,43,122,49,3,0,94
S28000347,M,50,64,0,270,0,165,65,129,0,35,12,18,6,68,18,0,0,55
S28000347,M,65,90,285,0,298,42,4,54,0,4,0,1,2,27,8,0,19,23
S28000347,F,0,15,0,0,0,0,312,0,1,0,106,0,304,0,49,0,0,0
S28000347,F,16,24,0,50,0,5,95,71,1,15,29,10,114,50,28,12,0,18
S28000347,F,25,49,0,210,0,128,382,96,7,119,124,16,356,95,73,2,0,55
S28000347,F,50,64,0,259,0,180,40,121,0,39,4,13,29,105,26,0,0,52
S28000347,F,65,90,655,0,302,16,2,42,0,4,0,1,0,153,13,0,36,35
S28000348,M,0,15,0,0,0,0,233,0,0,0,73,0,220,0,83,0,0,0
S28000348,M,16,24,0,4,0,0,91,62,0,10,17,10,75,50,21,5,0,21
S28000348,M,25,49,0,188,0,58,251,118,0,60,68,13,22,85,53,1,0,58
S28000348,M,50,64,0,125,0,140,65,118,0,12,10,8,0,39,21,0,0,37
S28000348,M,65,90,129,0,165,35,1,51,0,3,0,2,0,17,10,0,5,20
S28000348,F,0,15,0,0,0,0,224,0,0,0,58,0,192,0,64,0,0,0
S28000348,F,16,24,0,9,0,1,67,47,0,12,22,10,69,43,31,0,0,20
S28000348,F,25,49,0,99,0,68,284,81,4,55,75,12,212,74,76,0,0,61
S28000348,F,50,64,0,149,0,160,32,112,0,16,3,8,26,65,29,0,0,27
S28000348,F,65,90,297,0,167,4,0,47,0,0,0,1,2,68,16,0,21,23
S28000349,M,0,15,0,0,0,0,263,0,0,0,88,0,352,0,61,0,0,0
S28000349,M,16,24,0,52,0,1,59,50,0,43,16,9,81,90,22,25,0,51
S28000349,M,25,49,0,639,0,105,254,79,1,209,111,15,23,92,45,25,0,98
S28000349,M,50,64,0,278,0,125,44,70,1,33,5,14,8,19,10,0,0,42
S28000349,M,65,90,136,0,91,11,2,26,0,2,2,0,1,14,3,0,16,12
S28000349,F,0,15,0,0,0,0,225,0,0,0,94,0,373,0,63,0,0,0
S28000349,F,16,24,0,66,0,8,55,26,0,72,26,9,162,58,37,61,0,47
S28000349,F,25,49,0,452,0,108,257,52,2,193,104,14,435,127,88,5,0,90
S28000349,F,50,64,0,238,0,119,38,67,2,26,5,10,33,67,18,0,0,26
S28000349,F,65,90,247,0,89,7,0,23,0,6,0,1,3,34,6,0,15,6
S28000350,M,0,15,0,0,0,0,571,0,0,0,136,0,273,0,61,0,0,0
S28000350,M,16,24,0,39,0,2,140,110,0,19,21,10,54,59,17,38,0,33
S28000350,M,25,49,0,507,0,143,537,119,5,151,148,11,27,84,68,6,0,77
S28000350,M,50,64,0,221,0,179,162,168,2,31,15,11,4,38,20,0,0,44
S28000350,M,65,90,226,0,205,48,2,50,1,2,1,1,0,19,9,0,14,14
S28000350,F,0,15,0,0,0,0,571,0,0,0,132,0,226,0,57,0,0,0
S28000350,F,16,24,0,29,0,10,123,77,0,30,29,4,78,43,52,35,0,51
S28000350,F,25,49,0,274,0,144,595,71,1,155,153,8,282,77,66,0,0,68
S28000350,F,50,64,0,214,0,204,102,175,1,23,7,13,38,74,24,0,0,44
S28000350,F,65,90,458,0,205,14,1,36,0,3,0,1,2,56,18,0,21,13
S28000351,M,0,15,0,0,0,0,242,0,0,0,101,0,305,0,49,0,0,0
S28000351,M,16,24,0,12,0,1,57,78,1,6,26,11,76,54,15,0,0,19
S28000351,M,25,49,0,182,0,60,241,105,2,64,119,13,29,56,44,0,0,59
S28000351,M,50,64,0,138,0,150,45,106,2,22,7,9,5,36,20,0,0,34
S28000351,M,65,90,152,0,145,24,1,32,0,0,0,2,1,15,7,0,5,11
S28000351,F,0,15,0,0,0,0,179,0,0,0,110,0,221,0,58,0,0,0
S28000351,F,16,24,0,8,0,2,90,44,1,17,15,4,101,43,27,0,0,10
S28000351,F,25,49,0,81,0,60,250,81,4,55,120,9,268,80,63,0,0,42
S28000351,F,50,64,0,156,0,169,32,103,2,20,7,7,24,68,20,0,0,36
S28000351,F,65,90,328,0,147,4,0,23,0,0,0,2,1,60,10,0,12,14
S28000352,M,0,15,0,0,0,0,132,0,0,0,113,0,427,0,56,0,0,0
S28000352,M,16,24,0,34,0,0,61,40,0,8,37,10,84,77,14,3,0,23
S28000352,M,25,49,0,298,0,27,138,67,0,40,106,12,33,97,41,0,0,38
S28000352,M,50,64,0,141,0,66,34,56,0,13,5,6,4,18,10,0,0,15
S28000352,M,65,90,84,0,43,15,3,11,0,5,0,0,0,8,6,0,5,5
S28000352,F,0,15,0,0,0,0,141,0,0,0,93,0,458,0,55,0,0,0
S28000352,F,16,24,0,38,0,1,60,10,0,12,40,5,186,37,27,6,0,22
S28000352,F,25,49,0,158,0,28,149,58,0,30,105,12,453,79,69,0,0,39
S28000352,F,50,64,0,145,0,77,21,45,0,20,4,4,22,58,23,0,0,19
S28000352,F,65,90,207,0,45,2,0,11,0,0,1,0,10,39,4,0,6,5
S28000353,M,0,15,0,0,0,0,159,0,0,0,98,0,276,0,54,0,0,0
S28000353,M,16,24,0,5,0,0,39,46,1,8,30,18,62,63,24,1,0,11
S28000353,M,25,49,0,130,0,38,180,81,0,32,105,24,14,81,42,0,0,42
S28000353,M,50,64,0,87,0,85,22,71,0,16,10,7,6,19,15,0,0,21
S28000353,M,65,90,65,0,42,17,1,11,0,3,2,4,0,10,1,0,2,5
S28000353,F,0,15,0,0,0,0,158,0,0,0,102,0,258,0,63,0,0,0
S28000353,F,16,24,0,8,0,0,45,28,0,10,28,9,98,43,31,3,0,18
S28000353,F,25,49,0,104,0,38,182,57,2,37,110,20,296,90,74,0,0,24
S28000353,F,50,64,0,131,0,98,15,71,0,14,5,7,17,57,26,0,0,15
S28000353,F,65,90,126,0,44,4,0,9,0,2,1,4,6,42,5,0,6,15
S28000354,M,0,15,0,0,0,0,14,0,0,0,3,0,3,0,1,0,0,0
S28000354,M,16,24,0,39,0,2,2,1,0,17,0,0,1,3,0,167,0,46
S28000354,M,25,49,0,104,0,18,13,1,2,34,4,0,2,3,3,20,0,85
S28000354,M,50,64,0,15,0,5,3,1,0,0,0,0,1,1,0,0,0,1
S28000354,M,65,90,4,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0
S28000354,F,0,15,0,0,0,0,12,0,0,0,3,0,3,0,0,0,0,0
S28000354,F,16,24,0,44,0,2,5,0,0,25,0,0,2,0,1,263,0,43
S28000354,F,25,49,0,62,0,19,12,0,0,28,4,0,5,2,3,8,0,28
S28000354,F,50,64,0,10,0,5,2,1,0,0,0,0,0,4,1,0,0,0
S28000354,F,65,90,10,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0
S28000355,M,0,15,0,0,0,0,12,0,0,0,4,0,20,0,3,0,0,0
S28000355,M,16,24,0,24,0,3,1,2,0,13,0,0,3,7,1,45,0,14
S28000355,M,25,49,0,217,0,10,15,1,0,26,5,1,1,4,3,9,0,42
S28000355,M,50,64,0,79,0,5,4,1,0,13,0,0,0,1,2,0,0,3
S28000355,M,65,90,61,0,9,3,0,1,0,0,0,0,0,0,0,0,0,1
S28000355,F,0,15,0,0,0,0,14,0,0,0,1,0,15,0,4,0,0,0
S28000355,F,16,24,0,31,0,1,3,1,0,11,1,1,4,5,6,68,0,15
S28000355,F,25,49,0,72,0,12,16,2,0,26,4,1,18,8,3,5,0,8
S28000355,F,50,64,0,25,0,6,1,2,0,5,0,0,0,6,1,0,0,1
S28000355,F,65,90,30,0,9,2,0,0,0,0,0,0,0,3,1,0,0,0
S28000356,M,0,15,0,0,0,0,204,0,1,0,103,0,258,0,51,0,0,0
S28000356,M,16,24,0,43,0,0,48,47,0,21,13,14,54,94,18,46,0,34
S28000356,M,25,49,0,409,0,79,248,75,3,127,95,16,27,87,56,11,0,88
S28000356,M,50,64,0,219,0,130,53,83,1,34,13,13,8,27,12,0,0,26
S28000356,M,65,90,143,0,153,21,5,25,0,2,0,3,0,4,10,0,14,16
S28000356,F,0,15,0,0,0,0,230,0,1,0,77,0,271,0,64,0,0,0
S28000356,F,16,24,0,38,0,1,68,48,0,39,33,8,119,49,36,23,0,37
S28000356,F,25,49,0,277,0,88,266,81,7,138,106,16,300,110,74,6,0,72
S28000356,F,50,64,0,186,0,138,33,71,3,33,5,15,30,67,23,0,0,30
S28000356,F,65,90,273,0,157,3,0,17,0,0,0,0,3,55,10,0,8,16
S28000357,M,0,15,0,0,0,0,163,0,0,0,37,0,76,0,28,0,0,0
S28000357,M,16,24,0,44,0,1,28,22,0,63,4,4,16,18,11,218,0,118
S28000357,M,25,49,0,395,0,131,173,42,5,269,53,6,2,29,20,68,0,284
S28000357,M,50,64,0,165,0,71,32,40,2,27,2,5,3,15,2,0,0,17
S28000357,M,65,90,140,0,65,24,2,23,1,2,2,0,1,5,6,1,8,5
S28000357,F,0,15,0,0,0,0,151,0,0,0,50,0,66,0,9,0,0,0
S28000357,F,16,24,0,46,0,2,30,15,0,63,8,3,26,13,11,313,0,150
S28000357,F,25,49,0,351,0,138,189,24,5,271,55,8,94,32,22,27,0,210
S28000357,F,50,64,0,178,0,80,21,48,1,25,3,3,19,19,10,0,0,24
S28000357,F,65,90,237,0,65,7,1,13,0,2,0,1,0,27,4,1,3,8
S28000358,M,0,15,0,0,0,0,155,0,0,0,39,0,195,0,39,0,0,0
S28000358,M,16,24,0,69,0,5,28,19,0,21,7,3,35,39,19,164,0,75
S28000358,M,25,49,0,387,0,54,126,25,2,77,40,8,15,43,33,32,0,148
S28000358,M,50,64,0,149,0,38,21,32,0,11,6,4,6,12,12,0,0,18
S28000358,M,65,90,103,0,42,12,3,15,0,3,0,0,0,3,2,0,3,12
S28000358,F,0,15,0,0,0,0,121,0,0,0,34,0,159,0,42,0,0,0
