"","run","beta","lambda","prob.rnd.infection","f","pctApp","pctTest","lockdown","schools","compliance","SymPriority","deaths","propInfected","mortality","days","tests","household","relations","friends","school","random","work"
"796",962,0.08,0.01,0.1,0,60,1,"false","true","Low","false",256,41.1250825980487,0.6,285,36675,0.34,0.03,0.18,0.06,0.22,0.18
"797",961,0.08,0.01,0.1,0,60,0.5,"false","true","Low","false",237,41.5545924515101,0.55,285,19264,0.33,0.03,0.17,0.06,0.22,0.18
"798",968,0.08,0.01,0.1,0,80,0.5,"false","true","High","false",226,40.5167722626035,0.54,300,21305,0.34,0.03,0.17,0.06,0.22,0.18
"799",889,0.08,0.01,0.1,0,60,100,"false","true","High","true",76,20.199595755432,0.37,740,283946,0.37,0.02,0.17,0.06,0.21,0.17
"800",963,0.08,0.01,0.1,0,60,1.5,"false","true","Low","false",241,40.6042290200956,0.58,320,57142,0.33,0.03,0.17,0.06,0.22,0.19
"801",976,0.08,0.01,0.1,0,80,1,"false","true","Low","false",240,39.7393788626735,0.59,260,34510,0.34,0.03,0.18,0.06,0.22,0.19
"802",977,0.08,0.01,0.1,0,80,1.5,"false","true","Low","false",233,39.3535973879582,0.58,259,51309,0.34,0.03,0.18,0.06,0.22,0.18
"803",895,0.08,0.01,0.1,0,60,6,"false","true","Low","true",98,22.0993508765111,0.43,735,265193,0.37,0.02,0.17,0.07,0.21,0.17
"804",965,0.08,0.01,0.1,0,60,6,"false","true","Low","false",149,31.7710965133906,0.46,415,226845,0.35,0.03,0.17,0.06,0.21,0.18
"805",974,0.08,0.01,0.1,0,80,0,"false","true","Low","false",262,43.0831422241225,0.59,288,0,0.33,0.03,0.18,0.06,0.22,0.18
"806",975,0.08,0.01,0.1,0,80,0.5,"false","true","Low","false",243,41.5312706495122,0.57,301,19625,0.33,0.03,0.18,0.06,0.22,0.19
"807",989,0.08,0.01,0.1,0,0,0.5,"false","true","Low","true",283,41.9199673494772,0.66,328,20024,0.33,0.03,0.18,0.06,0.22,0.18
"808",971,0.08,0.01,0.1,0,80,3,"false","true","High","false",188,36.3431414467291,0.5,349,118189,0.35,0.03,0.17,0.06,0.21,0.18
"809",970,0.08,0.01,0.1,0,80,1.5,"false","true","High","false",238,37.8056127803475,0.61,338,59138,0.34,0.03,0.17,0.06,0.22,0.18
"810",990,0.08,0.01,0.1,0,0,1,"false","true","Low","true",200,36.8105492284371,0.53,310,40257,0.34,0.03,0.18,0.06,0.21,0.18
"811",944,0.08,0.01,0.1,0,40,6,"false","true","High","false",130,25.4460294632099,0.5,585,203733,0.36,0.02,0.17,0.06,0.21,0.18
"812",910,0.08,0.01,0.1,0,80,100,"false","true","Low","true",62,16.6420492090022,0.36,683,340679,0.38,0.02,0.17,0.07,0.2,0.16
"813",1003,0.08,0.01,0.1,0,20,0.5,"false","true","Low","true",263,40.6489291405916,0.63,318,21231,0.33,0.03,0.18,0.06,0.22,0.18
"814",996,0.08,0.01,0.1,0,20,0.5,"false","true","High","true",241,40.033816612897,0.58,325,21613,0.34,0.03,0.18,0.06,0.22,0.19
"815",978,0.08,0.01,0.1,0,80,3,"false","true","Low","false",227,37.5121467718739,0.59,319,109182,0.34,0.03,0.18,0.06,0.21,0.19
"816",967,0.08,0.01,0.1,0,80,0,"false","true","High","false",244,40.5702180588487,0.58,369,0,0.34,0.03,0.17,0.06,0.22,0.18
"817",972,0.08,0.01,0.1,0,80,6,"false","true","High","false",144,28.9044583511486,0.48,355,240625,0.35,0.03,0.17,0.06,0.21,0.17
"818",994,0.08,0.01,0.1,0,0,100,"false","true","Low","true",170,32.744781746803,0.5,404,90007,0.35,0.03,0.18,0.06,0.21,0.18
"819",993,0.08,0.01,0.1,0,0,6,"false","true","Low","true",157,31.3211800831811,0.49,371,82314,0.35,0.02,0.18,0.06,0.21,0.18
"820",997,0.08,0.01,0.1,0,20,1,"false","true","High","true",180,33.2792397092549,0.53,355,44874,0.35,0.03,0.18,0.06,0.21,0.17
"821",991,0.08,0.01,0.1,0,0,1.5,"false","true","Low","true",183,31.8935359738796,0.56,353,60473,0.35,0.02,0.18,0.06,0.21,0.18
"822",979,0.08,0.01,0.1,0,80,6,"false","true","Low","false",145,31.4513934776694,0.45,377,223614,0.35,0.03,0.17,0.06,0.21,0.18
"823",1012,0.08,0.01,0.1,0,40,1.5,"false","true","High","true",131,26.1495704901465,0.49,330,67700,0.36,0.02,0.17,0.06,0.21,0.17
"824",1017,0.08,0.01,0.1,0,40,0.5,"false","true","Low","true",237,39.6762156489291,0.58,288,20157,0.34,0.03,0.18,0.06,0.22,0.18
"825",973,0.08,0.01,0.1,0,80,100,"false","true","High","false",65,15.7635946670813,0.4,451,281283,0.39,0.02,0.16,0.08,0.2,0.15
"826",998,0.08,0.01,0.1,0,20,1.5,"false","true","High","true",178,31.1268317331986,0.56,335,62776,0.35,0.02,0.18,0.06,0.21,0.17
"827",1011,0.08,0.01,0.1,0,40,1,"false","true","High","true",153,31.2026275896918,0.48,356,44145,0.35,0.02,0.17,0.06,0.22,0.17
"828",1010,0.08,0.01,0.1,0,40,0.5,"false","true","High","true",215,37.7123255723559,0.55,316,22274,0.34,0.03,0.18,0.06,0.21,0.18
"829",992,0.08,0.01,0.1,0,0,3,"false","true","Low","true",128,28.5818400901776,0.44,385,79088,0.35,0.02,0.17,0.06,0.21,0.18
"830",1019,0.08,0.01,0.1,0,40,1.5,"false","true","Low","true",148,27.6538267190112,0.52,344,69740,0.36,0.02,0.17,0.06,0.21,0.17
"831",1018,0.08,0.01,0.1,0,40,1,"false","true","Low","true",179,33.3200528627512,0.52,336,43319,0.35,0.03,0.17,0.06,0.21,0.18
"832",1004,0.08,0.01,0.1,0,20,1,"false","true","Low","true",169,34.0993897461811,0.48,406,44023,0.34,0.02,0.18,0.06,0.21,0.18
"833",1007,0.08,0.01,0.1,0,20,6,"false","true","Low","true",147,28.7431492206631,0.5,383,113538,0.35,0.02,0.18,0.06,0.21,0.18
"834",1005,0.08,0.01,0.1,0,20,1.5,"false","true","Low","true",164,31.6515722781514,0.5,424,63950,0.35,0.03,0.18,0.06,0.21,0.18
"835",1039,0.08,0.01,0.1,0,80,1,"false","true","High","true",98,23.2625257511564,0.41,354,45159,0.38,0.02,0.16,0.07,0.2,0.16
"836",1000,0.08,0.01,0.1,0,20,6,"false","true","High","true",156,28.6634663971703,0.53,436,119171,0.36,0.02,0.17,0.06,0.21,0.18
"837",966,0.08,0.01,0.1,0,60,100,"false","true","Low","false",86,21.422046876822,0.39,561,277642,0.37,0.02,0.17,0.07,0.2,0.16
"838",951,0.08,0.01,0.1,0,40,6,"false","true","Low","false",137,27.1203404983092,0.49,635,212127,0.37,0.02,0.17,0.07,0.21,0.17
"839",1031,0.08,0.01,0.1,0,60,0.5,"false","true","Low","true",191,36.4325416877211,0.51,313,21788,0.35,0.03,0.17,0.06,0.21,0.18
"840",1024,0.08,0.01,0.1,0,60,0.5,"false","true","High","true",169,33.933221906946,0.48,349,23106,0.35,0.02,0.17,0.06,0.21,0.18
"841",1006,0.08,0.01,0.1,0,20,3,"false","true","Low","true",150,29.0949197341315,0.5,420,107160,0.35,0.03,0.17,0.06,0.22,0.18
"842",1026,0.08,0.01,0.1,0,60,1.5,"false","true","High","true",117,23.9650950363431,0.47,387,75483,0.37,0.02,0.17,0.06,0.21,0.17
"843",1025,0.08,0.01,0.1,0,60,1,"false","true","High","true",133,27.8977338982392,0.46,410,55663,0.36,0.03,0.17,0.07,0.2,0.17
"844",1028,0.08,0.01,0.1,0,60,6,"false","true","High","true",85,20.5309596921522,0.4,391,210393,0.37,0.03,0.17,0.06,0.21,0.17
"845",1029,0.08,0.01,0.1,0,60,100,"false","true","High","true",94,20.9711587048626,0.44,410,252819,0.37,0.02,0.17,0.07,0.21,0.16
"846",999,0.08,0.01,0.1,0,20,3,"false","true","High","true",152,29.7537606405722,0.5,459,118730,0.35,0.02,0.17,0.06,0.22,0.17
"847",1021,0.08,0.01,0.1,0,40,6,"false","true","Low","true",123,25.5947059509465,0.47,432,198481,0.36,0.02,0.17,0.06,0.21,0.18
"848",1033,0.08,0.01,0.1,0,60,1.5,"false","true","Low","true",120,23.577370078128,0.49,384,78050,0.36,0.02,0.18,0.06,0.2,0.18
"849",1013,0.08,0.01,0.1,0,40,3,"false","true","High","true",112,25.344968321219,0.43,501,132423,0.36,0.02,0.17,0.06,0.21,0.18
"850",1060,0.08,0.01,0.1,0,0,1,"false","true","Low","false",238,38.7569479535119,0.6,296,38071,0.34,0.03,0.18,0.06,0.22,0.18
"851",1034,0.08,0.01,0.1,0,60,3,"false","true","Low","true",98,22.6056283282155,0.42,418,145450,0.36,0.02,0.17,0.07,0.2,0.17
"852",1008,0.08,0.01,0.1,0,20,100,"false","true","Low","true",171,30.5593345512497,0.54,448,116117,0.36,0.02,0.17,0.06,0.21,0.18
"853",1061,0.08,0.01,0.1,0,0,1.5,"false","true","Low","false",207,36.8134644536868,0.55,305,54957,0.34,0.02,0.18,0.06,0.22,0.18
"854",1068,0.08,0.01,0.1,0,20,1.5,"false","true","High","false",232,39.4653476891981,0.57,262,50092,0.33,0.03,0.18,0.06,0.22,0.18
"855",1067,0.08,0.01,0.1,0,20,1,"false","true","High","false",239,40.8568818750729,0.57,274,35590,0.34,0.03,0.18,0.06,0.22,0.18
"856",1062,0.08,0.01,0.1,0,0,3,"false","true","Low","false",167,30.7342480662339,0.53,338,80120,0.35,0.03,0.18,0.06,0.21,0.18
"857",1065,0.08,0.01,0.1,0,20,0,"false","true","High","false",262,43.9353597387958,0.58,274,0,0.33,0.03,0.18,0.06,0.22,0.19
"858",1063,0.08,0.01,0.1,0,0,6,"false","true","Low","false",160,30.0647180005442,0.52,303,74436,0.36,0.02,0.18,0.06,0.21,0.18
"859",1038,0.08,0.01,0.1,0,80,0.5,"false","true","High","true",199,31.8925642321297,0.61,399,27980,0.35,0.03,0.17,0.07,0.21,0.18
"860",1046,0.08,0.01,0.1,0,80,1,"false","true","Low","true",130,26.0941812104015,0.48,368,49653,0.36,0.02,0.18,0.06,0.21,0.17
"861",1022,0.08,0.01,0.1,0,40,100,"false","true","Low","true",132,25.0301239942473,0.51,499,196399,0.36,0.02,0.18,0.06,0.21,0.17
"862",1032,0.08,0.01,0.1,0,60,1,"false","true","Low","true",145,29.5419209390912,0.48,421,55021,0.35,0.02,0.17,0.07,0.21,0.17
"863",1050,0.08,0.01,0.1,0,80,100,"false","true","Low","true",52,15.0853189256423,0.33,430,263635,0.38,0.02,0.17,0.08,0.2,0.16
"864",1069,0.08,0.01,0.1,0,20,3,"false","true","High","false",165,32.1141213511097,0.5,317,101972,0.35,0.03,0.18,0.06,0.21,0.18
"865",1015,0.08,0.01,0.1,0,40,100,"false","true","High","true",109,23.8125315816069,0.44,538,181021,0.36,0.02,0.17,0.07,0.21,0.17
"866",1058,0.08,0.01,0.1,0,0,0,"false","true","Low","false",261,44.633070315233,0.57,281,0,0.33,0.03,0.18,0.06,0.22,0.19
"867",1036,0.08,0.01,0.1,0,60,100,"false","true","Low","true",88,21.5619776888094,0.4,504,282729,0.37,0.03,0.17,0.07,0.2,0.17
"868",1064,0.08,0.01,0.1,0,0,100,"false","true","Low","false",158,30.6059781552455,0.5,384,83425,0.35,0.02,0.18,0.06,0.21,0.18
"869",1001,0.08,0.01,0.1,0,20,100,"false","true","High","true",150,28.5915575076768,0.51,549,129241,0.35,0.02,0.18,0.06,0.21,0.18
"870",1059,0.08,0.01,0.1,0,0,0.5,"false","true","Low","false",234,42.4165273836825,0.54,318,21166,0.33,0.03,0.18,0.06,0.22,0.18
"871",1043,0.08,0.01,0.1,0,80,100,"false","true","High","true",43,14.5693240564388,0.29,463,260128,0.38,0.02,0.17,0.07,0.2,0.16
"872",959,0.08,0.01,0.1,0,60,100,"false","true","High","false",97,21.2568507793369,0.44,729,310320,0.37,0.02,0.16,0.06,0.21,0.17
"873",1049,0.08,0.01,0.1,0,80,6,"false","true","Low","true",68,16.3233179150309,0.4,443,262408,0.38,0.02,0.16,0.07,0.21,0.15
"874",1041,0.08,0.01,0.1,0,80,3,"false","true","High","true",84,19.6806856609787,0.41,554,178426,0.38,0.02,0.17,0.07,0.2,0.16
"875",1075,0.08,0.01,0.1,0,20,1.5,"false","true","Low","false",246,39.0815096979827,0.61,290,52866,0.34,0.02,0.17,0.06,0.22,0.19
"876",1027,0.08,0.01,0.1,0,60,3,"false","true","High","true",91,21.9079177517783,0.4,507,170974,0.36,0.02,0.17,0.07,0.21,0.17
"877",1074,0.08,0.01,0.1,0,20,1,"false","true","Low","false",236,39.4527150464493,0.58,305,39370,0.33,0.03,0.18,0.06,0.22,0.18
"878",1047,0.08,0.01,0.1,0,80,1.5,"false","true","Low","true",92,22.0254985035177,0.41,425,85633,0.37,0.02,0.17,0.06,0.21,0.17
"879",1070,0.08,0.01,0.1,0,20,6,"false","true","High","false",155,27.8967621564893,0.54,372,110082,0.36,0.02,0.18,0.06,0.22,0.17
"880",1073,0.08,0.01,0.1,0,20,0.5,"false","true","Low","false",259,42.8149415011467,0.59,262,17374,0.33,0.03,0.18,0.06,0.22,0.18
"881",1066,0.08,0.01,0.1,0,20,0.5,"false","true","High","false",231,43.2123838768609,0.52,318,20747,0.33,0.03,0.18,0.06,0.22,0.18
"882",1045,0.08,0.01,0.1,0,80,0.5,"false","true","Low","true",180,34.2956815796634,0.51,407,27662,0.35,0.03,0.17,0.06,0.21,0.18
"883",1020,0.08,0.01,0.1,0,40,3,"false","true","Low","true",127,25.9513351731644,0.48,591,134452,0.35,0.02,0.17,0.06,0.21,0.18
"884",1072,0.08,0.01,0.1,0,20,0,"false","true","Low","false",259,44.7030357212267,0.56,282,0,0.32,0.03,0.18,0.06,0.22,0.19
"885",980,0.08,0.01,0.1,0,80,100,"false","true","Low","false",62,15.7917751778287,0.38,677,301600,0.39,0.02,0.15,0.08,0.21,0.15
"886",1014,0.08,0.01,0.1,0,40,6,"false","true","High","true",111,25.0126326427489,0.43,552,198115,0.36,0.03,0.17,0.06,0.21,0.18
"887",1083,0.08,0.01,0.1,0,40,3,"false","true","High","false",195,37.1759241264042,0.51,297,105704,0.34,0.03,0.18,0.06,0.22,0.18
"888",1082,0.08,0.01,0.1,0,40,1.5,"false","true","High","false",250,39.9376141796556,0.61,289,55327,0.34,0.03,0.18,0.06,0.22,0.18
"889",1080,0.08,0.01,0.1,0,40,0.5,"false","true","High","false",249,42.6750106891593,0.57,276,18610,0.33,0.03,0.18,0.06,0.22,0.18
"890",1081,0.08,0.01,0.1,0,40,1,"false","true","High","false",269,41.2232285147899,0.63,297,36802,0.33,0.03,0.18,0.06,0.22,0.18
"891",1077,0.08,0.01,0.1,0,20,6,"false","true","Low","false",153,29.2766354413651,0.51,359,109626,0.36,0.03,0.17,0.06,0.21,0.17
"892",1076,0.08,0.01,0.1,0,20,3,"false","true","Low","false",137,27.6858941967583,0.48,405,115243,0.35,0.02,0.17,0.06,0.21,0.17
"893",1090,0.08,0.01,0.1,0,40,3,"false","true","Low","false",211,36.7833404594395,0.56,315,101265,0.34,0.03,0.17,0.06,0.22,0.18
"894",1079,0.08,0.01,0.1,0,40,0,"false","true","High","false",269,43.4864150503362,0.6,317,0,0.33,0.03,0.18,0.06,0.22,0.18
"895",1088,0.08,0.01,0.1,0,40,1,"false","true","Low","false",266,42.4942667236755,0.61,260,35106,0.33,0.03,0.18,0.06,0.22,0.18
"896",1040,0.08,0.01,0.1,0,80,1.5,"false","true","High","true",59,19.121934154779,0.3,610,114798,0.39,0.02,0.17,0.07,0.2,0.15
"897",1087,0.08,0.01,0.1,0,40,0.5,"false","true","Low","false",258,42.900454775139,0.58,303,19977,0.33,0.03,0.18,0.06,0.22,0.19
"898",1078,0.08,0.01,0.1,0,20,100,"false","true","Low","false",147,29.1862634586232,0.49,380,114047,0.36,0.03,0.17,0.06,0.21,0.17
"899",1035,0.08,0.01,0.1,0,60,6,"false","true","Low","true",76,21.3831772068255,0.35,633,236329,0.37,0.02,0.17,0.07,0.21,0.17
"900",1048,0.08,0.01,0.1,0,80,3,"false","true","Low","true",89,20.3288374081704,0.43,506,180972,0.37,0.02,0.17,0.06,0.2,0.17
"901",1071,0.08,0.01,0.1,0,20,100,"false","true","High","false",139,28.6624946554204,0.47,444,121581,0.36,0.03,0.17,0.06,0.21,0.17
"902",1094,0.08,0.01,0.1,0,60,0.5,"false","true","High","false",224,40.6149181793447,0.54,301,19386,0.34,0.03,0.18,0.06,0.21,0.18
"903",1086,0.08,0.01,0.1,0,40,0,"false","true","Low","false",260,44.366813075757,0.57,316,0,0.33,0.03,0.18,0.06,0.23,0.18
"904",1089,0.08,0.01,0.1,0,40,1.5,"false","true","Low","false",259,41.4457573755199,0.61,297,52446,0.33,0.03,0.18,0.06,0.22,0.19
"905",1096,0.08,0.01,0.1,0,60,1.5,"false","true","High","false",227,39.6519221051813,0.56,303,53004,0.34,0.03,0.18,0.06,0.21,0.18
"906",1093,0.08,0.01,0.1,0,60,0,"false","true","High","false",259,42.0103393322191,0.6,292,0,0.33,0.03,0.18,0.06,0.22,0.18
"907",1102,0.08,0.01,0.1,0,60,1,"false","true","Low","false",234,41.6031795390057,0.55,288,38794,0.33,0.03,0.18,0.06,0.22,0.19
"908",1104,0.08,0.01,0.1,0,60,3,"false","true","Low","false",205,36.478213549967,0.55,285,104052,0.34,0.03,0.18,0.06,0.22,0.18
"909",1084,0.08,0.01,0.1,0,40,6,"false","true","High","false",128,24.5374509270416,0.51,439,185781,0.35,0.02,0.17,0.06,0.21,0.17
"910",1097,0.08,0.01,0.1,0,60,3,"false","true","High","false",215,37.5879426283671,0.56,343,110374,0.34,0.03,0.18,0.06,0.21,0.18
